timestamp	open	high	low	close	volume
2005-01-31	64.7776	77.89	62.6	76.9	6427061200
2004-12-31	67.79	67.95	61.6	64.4	3987153800
2004-11-30	52.5	69.57	52.04	67.05	4359901000
2004-10-29	39.12	53.2	37.65	52.4	4023591600
2004-09-30	34.3	39.27	34.19	38.75	1918376600
2004-08-31	31.24	35.18	29.7	34.49	2002841400
2004-07-30	32.08	33.63	28.74	32.34	2424144800
2004-06-30	27.7898	34.19	27.61	32.54	2056808600
2004-05-28	26.0	28.78	25.5	28.06	1326068800
2004-04-30	26.9	29.58	25.49	25.78	2232543600
2004-03-31	24.09	28.14	23.6	27.04	2906528800
2004-02-27	22.46	24.1	21.7	23.92	1230507600
2004-01-30	21.55	24.84	21.18	22.56	1981950600
2003-12-31	21.04	21.9	19.25	21.37	1363468400
2003-11-28	22.83	23.3	19.85	20.91	1243526200
2003-10-31	20.71	25.011	20.19	22.89	1760047800
2003-09-30	22.66	23.32	20.149	20.72	1336871200
2003-08-29	21.0	22.85	19.42	22.61	1076891200
2003-07-31	18.87	21.5715	18.51	21.08	1304567600
2003-06-30	18.1	19.69	16.63	19.06	1528333800
2003-05-30	14.25	19.0	14.0	17.95	2702886200
2003-04-30	14.2	14.95	12.72	14.22	1943835600
2003-03-31	15.01	15.16	14.04	14.14	1007101200
2003-02-28	14.41	15.3	14.06	15.01	1028575800
2003-01-31	14.36	15.38	13.56	14.36	1511458200
2002-12-31	15.9	16.1	13.78	14.33	1132609800
2002-11-29	15.94	17.38	15.01	15.5	1132930400
2002-10-31	14.6	16.44	13.36	16.07	1652858200
2002-09-30	14.49	15.19	14.0489	14.5	1322959400
2002-08-30	15.11	16.25	13.97	14.75	1287921600
2002-07-31	17.71	18.79	13.8	15.26	2029603800
2002-06-28	23.39	23.45	15.98	17.72	2177004200
2002-05-31	24.29	25.98	22.1401	23.3	1494039400
2002-04-30	23.38	26.17	23.0	24.27	1605709000
2002-03-28	21.93	25.3	21.82	23.67	1329645800
2002-02-28	24.3404	25.98	20.94	21.7	1959356000
2002-01-31	22.05	24.73	20.259	24.72	2128844200
2001-12-31	21.06	24.03	20.09	21.9	1157459800
2001-11-30	17.65	21.55	17.25	21.3	1342436200
2001-10-31	15.49	19.42	14.83	17.56	1886061800
2001-09-28	18.5	19.08	14.68	15.51	1382880800
2001-08-31	19.01	19.9	17.28	18.55	1282339800
2001-07-31	23.6429	25.22	17.852	18.79	2163775600
2001-06-29	20.13	25.1	19.35	23.25	1909566400
2001-05-31	25.41	26.7	19.3	19.95	1867108600
2001-04-30	22.0901	27.12	18.75	25.49	2789747800
2001-03-30	17.813	23.75	17.188	22.07	2699765600
2001-02-28	20.688	21.938	18.0	18.25	1755941600
2001-01-31	14.875	22.5	14.438	21.625	3427365200
2000-12-29	17.0	17.4998	13.625	14.875	2214742600
2000-11-30	19.438	23.0	16.125	16.5	2122093400
2000-10-31	26.688	26.75	17.5	19.563	5476447200
2000-09-29	61.313	64.125	25.375	25.75	3629232600
2000-08-31	50.313	61.5	44.25	60.938	1409021600
2000-07-31	52.125	60.6285	46.875	50.813	1436692600
2000-06-30	81.75	103.938	50.313	52.375	2026301200
2000-05-31	124.875	126.25	81.75	84.0	2451937600
2000-04-28	135.5	139.5	104.875	124.063	2165601200
2000-03-31	118.563	150.375	114.0	135.813	2174589200
2000-02-29	104.0	119.938	97.0	114.625	1829945600
2000-01-31	104.875	121.5	86.5	103.75	3138794400
1999-12-31	101.0	118.0	91.063	102.813	2354553600
1999-11-30	80.0	103.75	77.313	97.875	2156232400
